Depth,2022,2023,2024
314.495772,-68.74210813,-70.15693004,-72.08989681
315.499909,-68.65807228,-70.10794674,-72.05569312
316.504046,-68.58939242,-70.05828785,-72.02505219
317.489926,-68.53233967,-70.02594379,-72.00800335
318.494063,-68.47863084,-69.97237742,-71.93367637
319.498201,-68.40462316,-69.93446113,-71.86275897
320.502338,-68.33409112,-69.89237867,-71.8083935
321.506475,-68.25938375,-69.84004941,-71.75808376
322.492355,-68.17690306,-69.79533048,-71.73414415
323.496492,-68.10599542,-69.72068363,-71.6736555
324.500629,-68.03587662,-69.67764359,-71.61486341
325.504767,-67.96472006,-69.62118822,-71.52543954
326.508904,-67.88194214,-69.55601085,-71.45392684
327.494784,-67.81382254,-69.47865406,-71.4064229
328.498921,-67.7460009,-69.40147429,-71.34788487
329.503058,-67.67030976,-69.31939651,-71.2910395
330.488939,-67.57863762,-69.25288943,-71.21123484
331.493076,-67.50843125,-69.15735621,-71.11542567
332.497213,-67.43083661,-69.06853646,-71.03616384
333.50135,-67.36871494,-68.98767589,-70.92188594
334.505487,-67.29541462,-68.88474975,-70.84316
335.491368,-67.22078069,-68.80335933,-70.74801698
336.495505,-67.14936202,-68.73174586,-70.64121431
337.499642,-67.10222701,-68.66226572,-70.54619084
338.503779,-67.04316033,-68.58835369,-70.44352141
339.507916,-66.98375577,-68.54405312,-70.37446199
340.493797,-66.9253882,-68.48995315,-70.31659281
341.497934,-66.85490112,-68.43168883,-70.25102261
342.502071,-66.79198861,-68.3792292,-70.1716184
343.506208,-66.73450195,-68.31965622,-70.107334
344.510345,-66.68398514,-68.26224631,-70.00955775
345.496226,-66.62819245,-68.19558339,-69.93671413
346.500363,-66.57682477,-68.12537298,-69.85303955
347.5045,-66.51528634,-68.05981302,-69.75952666
348.49038,-66.46880107,-68.02870893,-69.70441701
349.494517,-66.41876256,-67.97320927,-69.61432558
350.498654,-66.36505935,-67.94133265,-69.52105073
351.502792,-66.31806486,-67.90339446,-69.46472492
352.506929,-66.25534907,-67.84615394,-69.32498704
353.492809,-66.20117662,-67.79736828,-69.23588486
354.496946,-66.14620801,-67.75853394,-69.13660097
355.501083,-66.11974734,-67.7355379,-69.0063697
356.505221,-66.08157049,-67.69795866,-68.88899123
357.509358,-66.03668975,-67.66702948,-68.7633768
358.495238,-66.00168342,-67.64002228,-68.65594561
359.499375,-65.9594914,-67.60909934,-68.53500006
360.503512,-65.91773161,-67.57645863,-68.44247598
361.489393,-65.88333744,-67.54551098,-68.34710308
362.49353,-65.83783051,-67.50672629,-68.26528368
363.497667,-65.80818261,-67.46240653,-68.18975628
364.501804,-65.75901411,-67.42447118,-68.11155846
365.505941,-65.7316664,-67.37901774,-68.02828162
366.491822,-65.7050164,-67.33892903,-67.93620531
367.495959,-65.65801492,-67.29271222,-67.83596341
368.500096,-65.62923532,-67.24940855,-67.78399775
369.504233,-65.60551593,-67.21278393,-67.70839469
370.50837,-65.5638353,-67.1382081,-67.60677561
371.494251,-65.52200449,-67.11157958,-67.51137945
372.498388,-65.4684183,-67.059115,-67.42110329
373.502525,-65.42828098,-67.02190769,-67.33044333
374.506662,-65.38981052,-66.97282622,-67.24284114
375.510799,-65.35376785,-66.92846697,-67.16606415
376.496679,-65.32827419,-66.87530153,-67.08966583
377.500817,-65.30116185,-66.83290183,-67.0163009
378.504954,-65.28394834,-66.77347614,-66.93961591
379.490834,-65.25691511,-66.73528641,-66.84813933
380.494971,-65.21280695,-66.67906552,-66.74197717
381.499108,-65.17515623,-66.62780101,-66.65806621
382.503246,-65.14536322,-66.59049551,-66.56363551
383.507383,-65.12128547,-66.54932538,-66.50311064
384.493263,-65.09322818,-66.48682171,-66.43775203
385.4974,-65.06489943,-66.43463468,-66.34927176
