Lon,Lat,SST,SSS,SSH,Chl,O2,Nppv,MLD,East,North,EKE,Up
148.24,37.67,18.89294137,33.92668491,-0.332944297,0.243924037,248.576004,10.48670292,11.01278019,0.044308243,-0.029437443,0.001414892,-5.91E-08
148.24,38.17,18.85891893,33.9499232,-0.260310292,0.24387975,245.4362335,10.57865524,11.10860327,-0.21113924,0.221381772,0.046794834,3.37E-07
148.49,34.67,28.53537114,34.14105733,0.837539925,0.099910341,205.2646332,4.246179581,10.46302414,-0.867183785,0.977162547,0.853427179,5.85E-07
148.49,34.92,28.6039931,34.21673542,1.023103489,0.099125169,205.3195648,4.139571667,10.46302403,-0.616832538,0.850084682,0.551563173,2.14E-07
148.49,38.17,19.49913639,34.17338689,-0.188980096,0.260912091,242.2641296,11.7584753,10.75054963,-0.423701876,0.598290712,0.268737528,1.20E-07
148.49,38.42,20.37755267,34.34804323,-0.069965868,0.272702992,240.291153,12.91409302,10.57269881,-0.329350897,0.875878572,0.437817644,1.24E-06
148.74,34.92,28.53753238,34.18870884,1.154843224,0.097476222,205.4248352,3.981816292,10.46302414,-0.441673686,0.635861019,0.29969744,6.58E-07
148.74,38.42,21.0389345,34.50886875,0.098497427,0.302642167,237.8202667,15.3924284,10.89093537,-0.415623731,1.014959964,0.601443408,8.63E-07
148.99,34.92,28.29014036,34.16409047,1.24043915,0.097235516,205.7075806,3.829396009,10.46302403,-0.261628922,0.329546518,0.0885253,6.40E-07
148.99,38.42,21.32570182,34.57796394,0.273318216,0.311356634,235.7762299,16.659338,15.4424998,-0.635877281,1.086247226,0.792136476,4.68E-07
148.99,38.67,21.74021551,34.61465115,0.3686981,0.298910469,234.8263245,16.49268913,19.64178212,-0.177131267,1.295847336,0.855297903,1.14E-06
148.99,39.67,18.46213616,33.83007431,-0.13514433,0.231321946,239.5565033,10.9408493,10.46237744,0.481301054,0.488360208,0.235073199,-1.30E-07
149.24,34.92,27.90456814,34.19740295,1.272116767,0.096684739,206.1994019,3.617451906,10.46302425,-0.081658727,0.092110062,0.007576206,4.44E-07
149.24,35.17,28.00620651,34.2625618,1.295674125,0.096618757,205.6101227,3.556895733,10.46342839,-0.051992939,-0.007161857,0.001377279,3.52E-07
149.24,35.42,27.95538447,34.2200186,1.322263857,0.095449056,205.3169403,3.401728272,10.81225348,-0.06080172,0.021794421,0.002085923,4.92E-08
149.24,35.67,27.84423892,34.17111164,1.331096994,0.094276041,205.3519897,3.250602484,10.77003373,0.009260228,0.102540891,0.005300193,5.05E-07
149.24,38.67,22.1934594,34.65613174,0.552049935,0.280652195,233.4310913,16.23160172,26.66431067,-0.271707397,0.988505628,0.525484144,1.07E-06
