Lon,Lat,NASC,,,,,,,,,,,
158.1,41.54,1011.899201,,,,,,,,,,,
158.1,41.79,1291.071816,,,,,,,,,,,
158.1,42.04,1136.591401,,,,,,,,,,,
158.1,42.29,1492.455672,,,,,,,,,,,
158.1,42.54,1175.351096,,,,,,,,,,,
158.1,43.04,764.6235595,,,,,,,,,,,
158.1,43.29,641.419861,,,,,,,,,,,
158.1,43.54,305.3928471,,,,,,,,,,,
158.1,43.79,242.323715,,,,,,,,,,,
158.1,44.04,302.9406421,,,,,,,,,,,
158.35,35.04,3820.373186,,,,,,,,,,,
158.35,36.04,2872.375772,,,,,,,,,,,
158.35,39.04,5711.286852,,,,,,,,,,,
158.35,39.29,4251.289547,,,,,,,,,,,
158.35,42.54,1025.331765,,,,,,,,,,,
158.35,42.79,1090.550302,,,,,,,,,,,
158.35,43.04,1248.756298,,,,,,,,,,,
158.35,43.79,188.2663526,,,,,,,,,,,
158.35,44.04,109.3323108,,,,,,,,,,,
158.6,36.04,3245.660624,,,,,,,,,,,
158.6,39.29,4688.197349,,,,,,,,,,,
158.85,35.79,3772.839288,,,,,,,,,,,
158.85,36.04,3496.432199,,,,,,,,,,,
158.85,39.29,2500.708913,,,,,,,,,,,
158.85,39.54,2745.276688,,,,,,,,,,,
159.1,35.54,5338.179412,,,,,,,,,,,
159.1,35.79,3689.653623,,,,,,,,,,,
159.1,39.54,2887.061616,,,,,,,,,,,
159.35,35.54,8344.294891,,,,,,,,,,,
159.35,35.79,8170.486193,,,,,,,,,,,
159.35,39.54,2149.273646,,,,,,,,,,,
159.35,39.79,2606.699996,,,,,,,,,,,
159.6,35.29,6955.668573,,,,,,,,,,,
159.6,35.54,10169.87144,,,,,,,,,,,
159.6,39.79,1727.593495,,,,,,,,,,,
159.85,35.04,6860.172274,,,,,,,,,,,
159.85,35.29,6079.123462,,,,,,,,,,,
159.85,39.79,1545.401434,,,,,,,,,,,
159.85,40.04,1581.457508,,,,,,,,,,,
160.1,35.04,9152.563329,,,,,,,,,,,
160.1,35.29,6947.612906,,,,,,,,,,,
160.1,35.54,7903.594275,,,,,,,,,,,
160.1,35.79,6713.234051,,,,,,,,,,,
160.1,36.04,7773.776545,,,,,,,,,,,
160.1,36.29,9535.378817,,,,,,,,,,,
160.1,36.54,8044.788192,,,,,,,,,,,
160.1,36.79,8123.720715,,,,,,,,,,,
160.1,37.04,8640.926218,,,,,,,,,,,
160.1,38.04,4563.488828,,,,,,,,,,,
160.1,38.29,4785.501669,,,,,,,,,,,
160.1,38.54,7456.434861,,,,,,,,,,,
160.1,38.79,8558.431809,,,,,,,,,,,
160.1,39.04,11046.119,,,,,,,,,,,
160.1,39.29,7539.670828,,,,,,,,,,,
160.1,39.54,2149.504984,,,,,,,,,,,
160.1,39.79,1559.946878,,,,,,,,,,,
160.1,40.04,1538.791796,,,,,,,,,,,
160.1,40.29,1097.046297,,,,,,,,,,,
160.1,40.54,1474.880625,,,,,,,,,,,
160.1,40.79,1985.193153,,,,,,,,,,,
160.1,41.04,1951.013361,,,,,,,,,,,
160.1,42.04,1124.95721,,,,,,,,,,,
160.1,42.29,1243.989472,,,,,,,,,,,
160.1,42.54,1062.317925,,,,,,,,,,,
160.1,42.79,811.7705365,,,,,,,,,,,
160.1,43.04,1031.111681,,,,,,,,,,,
160.1,43.29,1001.50856,,,,,,,,,,,
160.1,43.54,1297.251003,,,,,,,,,,,
160.1,43.79,1326.741747,,,,,,,,,,,
160.1,44.04,1168.030863,,,,,,,,,,,
160.1,44.29,373.4771955,,,,,,,,,,,
160.1,44.54,1157.16433,,,,,,,,,,,
160.1,44.79,568.9860341,,,,,,,,,,,
160.1,45.04,509.3416392,,,,,,,,,,,
160.35,37.04,9309.505131,,,,,,,,,,,
160.35,38.04,3064.863574,,,,,,,,,,,
160.35,40.29,2114.613118,,,,,,,,,,,
160.35,40.54,1892.057502,,,,,,,,,,,
160.35,41.04,2815.610052,,,,,,,,,,,
160.35,41.29,3170.264218,,,,,,,,,,,
160.35,42.04,1000.690811,,,,,,,,,,,
160.35,45.04,620.5747926,,,,,,,,,,,
160.6,37.04,6573.696924,,,,,,,,,,,
160.6,38.04,6368.477298,,,,,,,,,,,
160.6,40.54,1338.904725,,,,,,,,,,,
160.6,40.79,1031.088251,,,,,,,,,,,
160.6,41.29,2148.275115,,,,,,,,,,,
160.6,42.04,1967.515921,,,,,,,,,,,
160.6,45.04,991.5041308,,,,,,,,,,,
160.85,37.04,4006.975072,,,,,,,,,,,
160.85,38.04,2529.151102,,,,,,,,,,,
160.85,40.79,1766.400296,,,,,,,,,,,
160.85,41.04,1958.860818,,,,,,,,,,,
160.85,41.29,1649.879745,,,,,,,,,,,
160.85,41.54,1509.500126,,,,,,,,,,,
160.85,42.04,1500.66793,,,,,,,,,,,
160.85,45.04,873.8055495,,,,,,,,,,,
161.1,37.04,2363.78133,,,,,,,,,,,
161.1,38.04,2487.996184,,,,,,,,,,,
161.1,41.04,4162.424127,,,,,,,,,,,
161.1,41.29,4712.15677,,,,,,,,,,,
161.1,41.54,2199.024232,,,,,,,,,,,
161.1,42.29,1359.831886,,,,,,,,,,,
161.1,45.04,1014.07652,,,,,,,,,,,
161.35,37.04,1299.006803,,,,,,,,,,,
161.35,38.04,1739.673194,,,,,,,,,,,
161.35,41.29,3545.971439,,,,,,,,,,,
161.35,41.54,3327.973617,,,,,,,,,,,
161.35,41.79,3104.846911,,,,,,,,,,,
161.35,42.29,1810.505291,,,,,,,,,,,
161.35,45.04,1037.296422,,,,,,,,,,,
161.6,37.04,2600.240965,,,,,,,,,,,
161.6,38.04,1618.553811,,,,,,,,,,,
161.6,41.29,2651.555156,,,,,,,,,,,
161.6,41.54,3889.341289,,,,,,,,,,,
161.6,41.79,1785.731088,,,,,,,,,,,
161.6,42.29,2227.241153,,,,,,,,,,,
161.6,45.04,1311.791423,,,,,,,,,,,
161.85,37.04,3073.883751,,,,,,,,,,,
161.85,38.04,3978.453989,,,,,,,,,,,
161.85,41.54,4120.985131,,,,,,,,,,,
161.85,41.79,2698.868988,,,,,,,,,,,
161.85,42.29,2145.840635,,,,,,,,,,,
161.85,44.04,924.21992,,,,,,,,,,,
161.85,44.29,1061.905527,,,,,,,,,,,
161.85,44.54,617.7686519,,,,,,,,,,,
161.85,44.79,2134.047568,,,,,,,,,,,
161.85,45.04,2791.702092,,,,,,,,,,,
162.1,35.04,5739.226904,,,,,,,,,,,
162.1,35.29,5055.458313,,,,,,,,,,,
162.1,35.54,4980.21189,,,,,,,,,,,
162.1,35.79,4751.412597,,,,,,,,,,,
162.1,36.04,3885.278255,,,,,,,,,,,
162.1,36.29,3942.001323,,,,,,,,,,,
162.1,36.54,4355.22159,,,,,,,,,,,
162.1,36.79,3002.063607,,,,,,,,,,,
162.1,37.04,3167.357295,,,,,,,,,,,
162.1,38.04,4499.529232,,,,,,,,,,,
162.1,39.04,3730.423277,,,,,,,,,,,
162.1,39.29,2170.258147,,,,,,,,,,,
162.1,39.54,2723.499403,,,,,,,,,,,
162.1,39.79,3244.65078,,,,,,,,,,,
162.1,40.04,3638.613857,,,,,,,,,,,
162.1,40.29,2907.80872,,,,,,,,,,,
162.1,40.54,4598.417808,,,,,,,,,,,
162.1,40.79,4166.555802,,,,,,,,,,,
162.1,41.04,2597.014095,,,,,,,,,,,
162.1,41.29,3762.606448,,,,,,,,,,,
162.1,41.54,2676.35352,,,,,,,,,,,
162.1,41.79,2450.128588,,,,,,,,,,,
162.1,42.04,1776.854219,,,,,,,,,,,
162.1,42.29,1883.80407,,,,,,,,,,,
162.1,42.54,2421.943194,,,,,,,,,,,
162.1,42.79,2148.374822,,,,,,,,,,,
162.1,43.04,1904.66649,,,,,,,,,,,
162.1,43.29,1704.986104,,,,,,,,,,,
162.1,43.54,1068.588985,,,,,,,,,,,
162.1,43.79,974.2590212,,,,,,,,,,,
162.1,44.04,1028.30966,,,,,,,,,,,
